lang,text,time
en,Good morning,morning
en,Morning!,morning
en,Morning ☀,morning
en,Morning ☕,morning
en,Rise and shine,morning
en,Top of the morning,morning
en,Hello sunshine,morning
en,Good morning sunshine,morning
en,Wakey wakey,morning
en,Morning friend,morning
en,Bright and early,morning
en,Up and at 'em,morning
en,Good morning world,morning
en,A fine morning,morning
en,Morning mate,morning
en,Lovely morning,morning
en,Morning glory,morning
en,Hey early bird,morning
en,Mornin'!,morning
en,Good afternoon,afternoon
en,Afternoon!,afternoon
en,Happy afternoon,afternoon
en,Lovely afternoon,afternoon
en,Afternoon friend,afternoon
en,Good arvo,afternoon
en,Hope your day is going well,afternoon
en,Midday cheer,afternoon
en,Afternoon sunshine,afternoon
en,Good evening,evening
en,Evening!,evening
en,Evening 🌙,evening
en,Good evening friend,evening
en,Evening all,evening
en,Lovely evening,evening
en,Pleasant evening,evening
en,Evening mate,evening
en,Hope you had a great day,evening
en,Winding down?,evening|night
en,Good night,night
en,Good night 🌙,night
en,Sweet dreams,night
en,Sleep well,night
en,Nighty night,night
en,Rest easy,night
en,Sleep tight,night
en,Sweet dreams ✨,night
en,Catch some Zs,night
en,Till tomorrow,night
en,Hey!,any
en,Hi!,any
en,Hello!,any
en,Hello there,any
en,Hi there,any
en,Hey there,any
en,Hey you,any
en,Hi friend,any
en,Hey friend,any
en,Hello friend,any
en,Hey buddy,any
en,Hey pal,any
en,Hey mate,any
en,Hi everyone,any
en,Hello again,any
en,Hey 👋,any
en,Hello! ✨,any
en,Hiya 👋,any
en,Hey y'all,any
en,Welcome,any
en,Welcome back,any
en,Welcome home,any
en,Welcome aboard,any
en,Glad you're here,any
en,Howdy,any
en,Howdy partner,any
en,Hiya,any
en,Heyo,any
en,Hullo,any
en,Ahoy,any
en,Ahoy there,any
en,Oi oi,any
en,Ay up,any
en,Alright mate?,any
en,You alright?,any
en,What's up?,any
en,What's good?,any
en,Sup?,any
en,Yo!,any
en,What's happening?,any
en,What's poppin'?,any
en,What's cooking?,any
en,What's new?,any
en,What's the word?,any
en,What's the haps?,any
en,How goes it?,any
en,All good?,any
en,You good?,any
en,Doing alright?,any
en,Greetings,any
en,Greetings friend,any
en,Salutations,any
en,How do you do,any
en,Pleased to see you,any
en,Pleased to meet you,any
en,Nice to meet you,any
en,Lovely to meet you,any
en,A pleasure to meet you,any
en,Pleasure to see you,any
en,Good day,any
en,G'day,any
en,G'day mate,any
en,A pleasure,any
en,At your service,any
en,How are you?,any
en,How are you doing?,any
en,How's it going?,any
en,How ya doin'?,any
en,How've you been?,any
en,How are things?,any
en,How's life?,any
en,How's tricks?,any
en,How's everything?,any
en,How's your day?,any
en,How's your day going?,any
en,How's the family?,any
en,How are you keeping?,any
en,How's your week?,any
en,Hope you're well,any
en,Hope all is well,any
en,Hope you're doing well,any
en,Hope you're having a good one,any
en,Doing well?,any
en,Keeping busy?,any
en,Keeping out of trouble?,any
en,Long time no see,any
en,Long time,any
en,Long time no talk,any
en,It's been a while,any
en,It's been ages,any
en,Where have you been?,any
en,Good to see you,any
en,Nice to see you,any
en,Great to see you,any
en,Lovely to see you,any
en,So good to see you,any
en,Good to see you again,any
en,Aloha,any
en,Cheers,any
en,Cheers mate,any
en,Hey there stranger,any
en,Well hello there,any
en,Why hello,any
en,Hi all,any
en,Hey all,any
en,Hi guys,any
en,Hey gang,any
en,Hey team,any
en,Hi team,any
en,Hello everyone,any
en,Greetings everyone,any
en,Hey folks,any
en,Hey people,any
en,Hey crew,any
en,Hey squad,any
en,Hey lovely,any
en,Hey gorgeous,any
en,Hey sunshine,any
en,Hello sunshine ☀,any
en,Hey superstar,any
en,Hey rockstar,any
en,Hey champ,any
en,Hey legend,any
en,Hey stranger,any
en,Hey beautiful,any
en,Hi lovely,any
en,Hey kiddo,any
en,Hey troublemaker,any
en,Hey hotshot,any
en,Hey boss,any
en,Hey chief,any
en,Hey captain,any
en,Hey big shot,any
en,Hey smarty pants,any
en,How's my favorite person?,any
en,Look who it is,any
en,There you are,any
en,Fancy seeing you,any
en,Speak of the devil,any
en,Just thinking of you,any
en,Thinking of you,any
en,Sending good vibes,any
en,Have a great one,any
en,Have a good one,any
en,Hope you're smiling,any
en,Hope you're crushing it,any
en,Make today great,any
en,You've got this,any
en,Hey go-getter,any
en,Ready to learn?,any
en,Let's do this,any
en,Time to learn,any
