lang,text,time
it,Buongiorno,morning
it,Buongiorno!,morning
it,Buongiorno ☀,morning
it,Buongiorno ☕,morning
it,Buongiorno raggio di sole,morning
it,Buongiorno mondo,morning
it,Buongiorno a tutti,morning
it,Buon risveglio,morning
it,Sveglia!,morning
it,Sveglia dormiglione,morning
it,Buongiorno amico,morning
it,Buongiorno bello,morning
it,Buongiorno cara,morning
it,Buondì,morning
it,Buondì!,morning
it,Buondì a te,morning
it,Buongiornissimo,morning
it,Buon inizio di giornata,morning
it,Buona mattinata,morning
it,Buona mattina,morning
it,'Giorno,morning
it,'Giorno!,morning
it,Buon caffè ☕,morning
it,Su con la vita!,morning
it,Buon martedì,morning
it,Buon lunedì,morning
it,Buon mercoledì,morning
it,Buon giovedì,morning
it,Buon venerdì,morning
it,Buon sabato,morning
it,Buona domenica,morning
it,Buon pomeriggio,afternoon
it,Buon pomeriggio!,afternoon
it,Pomeriggio!,afternoon
it,Buon pomeriggio a tutti,afternoon
it,Buon pomeriggio bello,afternoon
it,Buon proseguimento,afternoon
it,Buona giornata,afternoon
it,Buon resto di giornata,afternoon
it,Buona pausa pranzo,afternoon
it,Buona merenda,afternoon
it,Buonasera,evening|night
it,Buonasera!,evening|night
it,Buonasera 🌙,evening|night
it,Buonasera amico,evening|night
it,Buonasera signori,evening|night
it,Sera!,evening|night
it,'Sera,evening|night
it,Buona serata,evening|night
it,Serata!,evening|night
it,Buon aperitivo,evening
it,Buonanotte,night
it,Buonanotte 🌙,night
it,Buonanotte stella,night
it,Buonanotte amore,night
it,Sogni d'oro,night
it,Sogni belli,night
it,Dormi bene,night
it,Riposati,night
it,Notte!,night
it,Notte serena,night
it,A nanna!,night
it,Ciao,any
it,Ciao!,any
it,Ciao ciao,any
it,Ciao a tutti,any
it,Ciao bello,any
it,Ciao bella,any
it,Ciao amico,any
it,Ciao amica,any
it,Ciao caro,any
it,Ciao cara,any
it,Ciao tesoro,any
it,Ciao stella,any
it,Ciao gente,any
it,Ciao raga,any
it,Ciao fra,any
it,Ciao zio,any
it,Ciao 👋,any
it,Ciao! ✨,any
it,Ciaone,any
it,Ciauz,any
it,Salve,any
it,Salve!,any
it,Salve a tutti,any
it,Salve a lei,any
it,Ehi,any
it,Ehi!,any
it,Ehi tu,any
it,Ehi ciao,any
it,Ehi amico,any
it,Ehilà,any
it,Ehilà!,any
it,Oi,any
it,Oi!,any
it,Oilà,any
it,Bella!,any
it,Bella lì,any
it,Bella zio,any
it,Bella raga,any
it,Bella fra,any
it,Bella oh!,any
it,Aò,any
it,Aò bello,any
it,A regà,any
it,Daje!,any
it,Uè,any
it,Uè uè,any
it,Uè bello,any
it,Uè guagliò,any
it,Uagliò!,any
it,Statt'accuort,any
it,Toh,any
it,Toh chi si vede,any
it,Toh chi c'è,any
it,Guarda chi c'è,any
it,Ma chi si vede!,any
it,Cià,any
it,Salutamu,any
it,Beh ciao,any
it,Beh ehilà,any
it,Allora ciao,any
it,Come stai?,any
it,Come stai oggi?,any
it,Come stai tu?,any
it,Come va?,any
it,Come va la vita?,any
it,Come butta?,any
it,Come te la passi?,any
it,Come te la cavi?,any
it,Come va frate?,any
it,Come va zio?,any
it,Come va capo?,any
it,Tutto bene?,any
it,Tutto a posto?,any
it,Tutto ok?,any
it,Tutto liscio?,any
it,Tutto tranquillo?,any
it,Tutto sotto controllo?,any
it,Che si dice?,any
it,Che mi racconti?,any
it,Che mi dici?,any
it,Che si racconta?,any
it,Che combini?,any
it,Che fai di bello?,any
it,Che fai?,any
it,Novità?,any
it,Che novità?,any
it,Nulla di nuovo?,any
it,Come procede?,any
it,Come vanno le cose?,any
it,Come sta andando?,any
it,Come ti senti?,any
it,Stai bene?,any
it,Tutto a meraviglia?,any
it,Spero tu stia bene,any
it,Spero stia andando tutto bene,any
it,Piacere,any
it,Piacere mio,any
it,Molto piacere,any
it,Piacere di conoscerti,any
it,Piacere di conoscerla,any
it,Piacere di rivederti,any
it,Lieto di conoscerla,any
it,Saluti,any
it,Saluti a tutti,any
it,Tanti saluti,any
it,Cordiali saluti,any
it,Un saluto,any
it,Un caro saluto,any
it,Distinti saluti,any
it,Benvenuto,any
it,Benvenuta,any
it,Benvenuti,any
it,Benvenute,any
it,Bentornato,any
it,Bentornata,any
it,Bentornati,any
it,Benvenuto a casa,any
it,"Benvenuto a casa, eh",any
it,Benvenuto tra noi,any
it,Quanto tempo!,any
it,Quanto tempo è passato,any
it,Da quanto non ci vediamo!,any
it,Da quanto tempo!,any
it,È una vita che non ci vediamo,any
it,È un secolo che non ci vediamo,any
it,Ne è passato di tempo,any
it,È un piacere rivederti,any
it,Che bello rivederti,any
it,Che bello vederti,any
it,Che sorpresa vederti,any
it,Ti trovo bene,any
it,Stai benissimo,any
it,Ma guarda chi c'è!,any
it,Chi non muore si rivede,any
it,Felice di vederti,any
it,Eccoti qua!,any
it,Madò che sorpresa,any
it,Te possino!,any
