lang,text,time
nl,Goedemorgen,morning
nl,Goeiemorgen,morning
nl,Morgen!,morning
nl,Mogguh,morning
nl,Goedemorgen ☀,morning
nl,Morgen ☕,morning
nl,Goeiemorgen zonneschijn,morning
nl,Goedemorgen vriend,morning
nl,Goedemorgen schat,morning
nl,Goedemorgen allemaal,morning
nl,Goedemorgen zonnestraal,morning
nl,Opstaan!,morning
nl,Opstaan luiwammes,morning
nl,Lekker geslapen?,morning
nl,Goed geslapen?,morning
nl,Fijne ochtend,morning
nl,Prettige ochtend,morning
nl,Hé vroege vogel,morning
nl,Goedemorgen kanjer,morning
nl,Fijne dag verder,morning
nl,Een mooie ochtend,morning
nl,Hallo zonneschijn,morning
nl,Hé slaapkop,morning
nl,Wakker worden!,morning
nl,Tijd om op te staan,morning
nl,Eerst koffie ☕,morning
nl,Klaar voor de dag?,morning
nl,Goedemiddag,afternoon
nl,Goeiemiddag,afternoon
nl,Middag!,afternoon
nl,Middagje,afternoon
nl,Goedemiddag allemaal,afternoon
nl,Fijne middag,afternoon
nl,Prettige middag,afternoon
nl,Hé daar middagmens,afternoon
nl,Smakelijke lunch,afternoon
nl,Eet smakelijk,afternoon
nl,Lekkere middag,afternoon
nl,Halverwege de dag,afternoon
nl,Nog een fijne middag,afternoon
nl,Goedenavond,evening
nl,Goeienavond,evening
nl,Avond!,evening
nl,Avondje,evening
nl,Goedenavond 🌙,evening
nl,Fijne avond,evening
nl,Prettige avond,evening
nl,Goedenavond vriend,evening
nl,Goedenavond allemaal,evening
nl,Lekkere avond,evening
nl,Geniet van je avond,evening
nl,Smakelijk eten,evening
nl,Mooie avond verder,evening
nl,Hé avondmens,evening
nl,Goedenacht,night
nl,Welterusten,night
nl,Welterusten 🌙,night
nl,Slaap lekker,night
nl,Slaap zacht,night
nl,Droom zacht,night
nl,Droom maar lekker,night
nl,Truste,night
nl,Trusten,night
nl,Tot morgen,night
nl,Slaap ze,night
nl,Welterusten schat,night
nl,Nachtje,night
nl,Lekker slapen,night
nl,Tot in dromenland,night
nl,Hoi,any
nl,Hallo,any
nl,Hey,any
nl,Hé,any
nl,Hoi hoi,any
nl,Hoihoi,any
nl,Hoiiii,any
nl,Halloha,any
nl,Hallo daar,any
nl,Hoi daar,any
nl,Hey daar,any
nl,Hé jij,any
nl,Hé jij daar,any
nl,Hallo vriend,any
nl,Hoi vriend,any
nl,Hey vriend,any
nl,Hé makker,any
nl,Hé maat,any
nl,Hé gozer,any
nl,Hé meid,any
nl,Hé schat,any
nl,Hé kerel,any
nl,Hé jongen,any
nl,Hé dame,any
nl,Hé liefje,any
nl,Hé knapperd,any
nl,Hé kanjer,any
nl,Hé held,any
nl,Yo,any
nl,Yow,any
nl,Jow,any
nl,Hey 👋,any
nl,Hoi! ✨,any
nl,Moi,any
nl,Moi moi,any
nl,Moin,any
nl,Houdoe,any
nl,Houdoe hè,any
nl,Houdoe en bedankt,any
nl,Hèj,any
nl,Salut,any
nl,Saluut,any
nl,Allee,any
nl,Allee hé,any
nl,Hoike,any
nl,Goeiedag,any
nl,Goeie,any
nl,Goedendag,any
nl,Dag,any
nl,Dagdag,any
nl,Daag,any
nl,Doei,any
nl,Doeg,any
nl,Doeidoei,any
nl,Ahoi,any
nl,Ahoy,any
nl,Hoi allemaal,any
nl,Hallo allemaal,any
nl,Hey allemaal,any
nl,Hoi iedereen,any
nl,Hallo iedereen,any
nl,Dag allemaal,any
nl,Dag iedereen,any
nl,Hé jongens,any
nl,Hoi jongens,any
nl,Hallo mensen,any
nl,Hé team,any
nl,Hoi team,any
nl,Hé lieverd,any
nl,Welkom,any
nl,Welkom terug,any
nl,Welkom thuis,any
nl,Welkom aan boord,any
nl,Welkom vreemdeling,any
nl,Gegroet,any
nl,Gegroet vriend,any
nl,Gegroet reiziger,any
nl,Wees gegroet,any
nl,Aangenaam,any
nl,Aangenaam kennis te maken,any
nl,Leuk je te ontmoeten,any
nl,Leuk je te leren kennen,any
nl,Hoe maakt u het?,any
nl,Hoe gaat het?,any
nl,Hoe gaat het met je?,any
nl,Hoe gaat het met jou?,any
nl,Hoe is het?,any
nl,Hoe ist?,any
nl,Hoe gaat ie?,any
nl,Hoe gaat-ie?,any
nl,Hoe staat het ervoor?,any
nl,Hoe staat het leven?,any
nl,Hoe zit het?,any
nl,Hoe gaat het ermee?,any
nl,En jij nog?,any
nl,En met jou?,any
nl,Alles goed?,any
nl,Alles kits?,any
nl,Alles cool?,any
nl,Alles oké?,any
nl,Alles in orde?,any
nl,Alles naar wens?,any
nl,Alles pico bello?,any
nl,Alles dik in orde?,any
nl,Lekker bezig?,any
nl,Druk bezig?,any
nl,Hoe is je dag?,any
nl,Hoe was je dag?,any
nl,Hoe gaat je dag?,any
nl,Ik hoop dat alles goed gaat,any
nl,Leuk je te zien,any
nl,Fijn je weer te zien,any
nl,Goed je te zien,any
nl,Wat leuk je te zien,any
nl,Lang niet gezien,any
nl,Het is alweer een tijdje,any
nl,Het is een tijdje geleden,any
nl,Hé vreemdeling,any
nl,Kijk eens wie we daar hebben,any
nl,Daar ben je weer,any
nl,Tijd geleden!,any
nl,Eindelijk weer eens,any
nl,Proost,any
nl,Santé,any
nl,Hoi schoonheid,any
nl,Hé zonnetje,any
nl,Goeiedag samen,any
nl,Een goedendag,any
nl,Hartelijk welkom,any
nl,Fijn dat je er bent,any
nl,Leuk dat je er bent,any
