lang,text,time
pt,Bom dia,morning
pt,Bom dia!,morning
pt,Bom diaa,morning
pt,Bom dia ☀,morning
pt,Bom dia ☕,morning
pt,Bom dia amigo,morning
pt,Bom dia amiga,morning
pt,Bom dia amor,morning
pt,Bom dia gente,morning
pt,Bom dia pessoal,morning
pt,Bom dia a todos,morning
pt,Bom dia flor do dia,morning
pt,Bom dia raio de sol,morning
pt,Bom dia lindeza,morning
pt,Bom dia família,morning
pt,Acordou cedo?,morning
pt,Já tomaste o café?,morning
pt,Já tomou café?,morning
pt,Boa tarde,afternoon
pt,Boa tarde!,afternoon
pt,Boa tardee,afternoon
pt,Boa tarde a todos,afternoon
pt,Boa tarde pessoal,afternoon
pt,Boa tarde amigo,afternoon
pt,Boa tarde amiga,afternoon
pt,Boa tarde gente,afternoon
pt,Boa tarde colega,afternoon
pt,Boa noite,evening|night
pt,Boa noite!,evening|night
pt,Boa noitee,evening|night
pt,Boa noite 🌙,evening|night
pt,Boa noite a todos,evening|night
pt,Boa noite pessoal,evening|night
pt,Boa noite gente,evening|night
pt,Boa noite amor,evening|night
pt,Bons sonhos,night
pt,Bons sonhos ✨,night
pt,Durma bem,night
pt,Dorme bem,night
pt,Tenha uma boa noite,night
pt,Tem uma boa noite,night
pt,Até amanhã,night
pt,Sonhos cor-de-rosa,night
pt,Descansa bem,night
pt,Descanse bem,night
pt,Olá,any
pt,Olá!,any
pt,Olááá,any
pt,Oi,any
pt,Oi!,any
pt,Oii,any
pt,Oie,any
pt,Oioi,any
pt,Alô,any
pt,Alô alô,any
pt,Ei,any
pt,Hey,any
pt,Olá tudo bem?,any
pt,Olá tudo bem contigo?,any
pt,Oi tudo bem?,any
pt,Oi tudo bom?,any
pt,Olá amigo,any
pt,Olá amiga,any
pt,Olá! 👋,any
pt,Olá! ✨,any
pt,Olá querido,any
pt,Olá querida,any
pt,Olá meu amigo,any
pt,Olá minha amiga,any
pt,Olá meu caro,any
pt,Olá lindo,any
pt,Olá linda,any
pt,Olá meu bem,any
pt,Oi meu bem,any
pt,Oi flor,any
pt,Oi meu anjo,any
pt,E aí?,any
pt,E aí mano?,any
pt,E aí cara?,any
pt,E aí galera?,any
pt,E aí meu chapa?,any
pt,E aí parceiro?,any
pt,E aí brother?,any
pt,E aí mana?,any
pt,Beleza?,any
pt,Beleza mano?,any
pt,Tudo certo?,any
pt,Tudo certinho?,any
pt,De boa?,any
pt,Suave?,any
pt,Tranquilo?,any
pt,Tranquila?,any
pt,Tá tudo?,any
pt,Tá ligado?,any
pt,Fala!,any
pt,Fala aí!,any
pt,Fala mano,any
pt,Fala cara,any
pt,Fala parceiro,any
pt,Fala meu rei,any
pt,Diga aí,any
pt,Salve!,any
pt,Salve família,any
pt,Eai,any
pt,Iaê,any
pt,Bah tchê,any
pt,Bah guri,any
pt,Oxe!,any
pt,Oxente!,any
pt,Eita!,any
pt,Eita ferro!,any
pt,Uai,any
pt,Vixe,any
pt,Aí sim,any
pt,Viva,any
pt,Viva!,any
pt,Viva amigo,any
pt,Olá tudo bem por aí?,any
pt,Como estás?,any
pt,Como está?,any
pt,Como estais?,any
pt,Tudo bem?,any
pt,Tudo bom?,any
pt,Tudo joia?,any
pt,Tudo tranquilo?,any
pt,Tudo numa boa?,any
pt,Tudo fino?,any
pt,Como vai?,any
pt,Como vai você?,any
pt,Como vais?,any
pt,Como tem passado?,any
pt,Como tens passado?,any
pt,Como anda?,any
pt,Como andas?,any
pt,Como você está?,any
pt,Como vão as coisas?,any
pt,Como vai a vida?,any
pt,Como tem sido?,any
pt,E você?,any
pt,E tu?,any
pt,Como passaste?,any
pt,Como foi o dia?,any
pt,Que tal?,any
pt,Tá tudo bem?,any
pt,Tá bom?,any
pt,Saudações,any
pt,Cumprimentos,any
pt,Saudações cordiais,any
pt,Como o senhor está?,any
pt,Como a senhora está?,any
pt,Como vai o senhor?,any
pt,Como vai a senhora?,any
pt,Prazer,any
pt,Muito prazer,any
pt,Prazer em conhecê-lo,any
pt,Prazer em conhecê-la,any
pt,É um prazer,any
pt,O prazer é meu,any
pt,Encantado,any
pt,Encantada,any
pt,Espero que esteja bem,any
pt,Espero que estejas bem,any
pt,Tudo em ordem?,any
pt,Bem-vindo,any
pt,Bem-vinda,any
pt,Bem-vindos,any
pt,Bem-vindas,any
pt,Bem-vindo de volta,any
pt,Bem-vinda de volta,any
pt,Seja bem-vindo,any
pt,Seja bem-vinda,any
pt,Sejam bem-vindos,any
pt,Há quanto tempo!,any
pt,Quanto tempo!,any
pt,Há quanto tempo não te vejo,any
pt,Há quanto tempo não nos vemos,any
pt,Quanto tempo sem te ver,any
pt,Que bom te ver,any
pt,Que bom ver você,any
pt,Que bom ver-te,any
pt,Que saudade!,any
pt,Saudades!,any
pt,Que saudades de ti,any
pt,Morri de saudades,any
pt,Oi sumido,any
pt,Oi sumida,any
pt,Cadê você,any
pt,Por onde andas?,any
pt,Por onde tem andado?,any
pt,Apareceu!,any
pt,Olá a todos,any
pt,Olá a todas,any
pt,Olá pessoal,any
pt,E aí pessoal,any
pt,E aí galera,any
pt,Oi gente,any
pt,Olá amigos,any
pt,Olá malta,any
pt,Tudo bem malta?,any
pt,Olá grupo,any
